,CName,AUID,GroupID,GName,BUID,GName,MissionID,Evaluation,Coaching,PE01,PE02,PE03,PEA01,PEA02,PEC03,PEM07,PEIR08
25,六年七班,107216,5121008,第8組,107359,第6組,M231204110653,"PE01:67,PE02:70,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:字可以再大一點,PEIR08:,",,True,True,True,True,True,True,True,True
26,六年七班,107298,5121007,第7組,107204,第5組,M231204110653,"PE01:67,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:,PEIR08:字有點小,",,True,True,True,True,True,True,True,True
27,六年七班,107298,5121007,第7組,107400,第3組,M231204110653,"PE01:68,PE02:71,PE03:75,PEA01:,PEA02:,PEC03:,PEM07:,PEIR08:字有點醜
,",,True,True,True,True,True,True,True,True
28,六年七班,107325,5121009,第9組,107216,第8組,M231204110653,"PE01:67,PE02:71,PE03:73,PEA01:流程圖寫得很仔細，很容易看懂,PEA02:程式碼可在多一點,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
29,六年七班,107325,5121009,第9組,107426,第4組,M231204110653,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:流程圖可在寫仔細一點,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
30,六年七班,107359,5121006,第6組,107298,第7組,M231204110653,"PE01:67,PE02:70,PE03:73,PEA01:做得很好，內容無誤,PEA02:,PEC03:,PEM07:在圖示後，可以加上清空，讓畫面更乾淨,PEIR08:,",,True,True,True,True,True,True,True,True
31,六年七班,107359,5121006,第6組,107499,第2組,M231204110653,"PE01:67,PE02:71,PE03:73,PEA01:,PEA02:,PEC03:,PEM07:最後沒有加上文字(隊名)和清空畫面,PEIR08:,",,True,True,True,True,True,True,True,True
32,六年七班,107400,5121003,第3組,107139,第1組,M231204110653,"PE01:68,PE02:71,PE03:73,PEA01:?,PEA02:?,PEC03:?,PEM07:?,PEIR08:?,",,True,True,True,True,True,True,True,True
33,六年七班,107400,5121003,第3組,107325,第9組,M231204110653,"PE01:67,PE02:71,PE03:74,PEA01:邏輯很清晰,PEA02:圖形有點簡略,PEC03:,PEM07:做得太好了,PEIR08:,",,True,True,True,True,True,True,True,True
34,六年七班,107426,5121004,第4組,107204,第5組,M231204110653,"PE01:67,PE02:71,PE03:73,PEA01:,PEA02:,PEC03:流程圖錯誤
,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
35,六年七班,107426,5121004,第4組,107359,第6組,M231204110653,"PE01:67,PE02:70,PE03:73,PEA01:流程圖很清楚,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
36,六年七班,107499,5121002,第2組,107216,第8組,M231204110653,"PE01:67,PE02:71,PE03:75,PEA01:贊成











,PEA02:不想,PEC03:好,PEM07:ok,PEIR08:cl3,",,True,True,True,True,True,True,True,True
37,六年七班,107499,5121002,第2組,107400,第3組,M231204110653,"PE01:68,PE02:72,PE03:74,PEA01:7.5.11,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
38,六年九班,107006,4530003,第3組,107151,第8組,M231129202045,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:流程圖的圖片做多一點,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:,PCIR08:好喔,",True,True,True,True,True,True,True,True
39,六年九班,107006,4530003,第3組,107369,第4組,M231129202045,"PE01:68,PE02:71,PE03:74,PEA01:圖片做得不錯,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:棒,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
40,六年九班,107007,4530002,第2組,107006,第3組,M231129202045,"PE01:68,PE02:71,PE03:75,PEA01:,PEA02:,PEC03:,PEM07:,PEIR08:海害嗨,","PC01:78,PCA01:加油,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
41,六年九班,107007,4530002,第2組,107163,第7組,M231129202045,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:,PEIR08:嗨,","PC01:78,PCA01:,PCA02:嗨:),PCC03:嗨:),PCM07:,PCIR08:嗨是什麼?,",True,True,True,True,True,True,True,True
42,六年九班,107015,4530006,第6組,107007,第2組,M231129202045,"PE01:67,PE02:71,PE03:74,PEA01:2個寫的完整、清楚,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:,PCIR08:海害嗨,",True,True,True,True,True,True,True,True
43,六年九班,107015,4530006,第6組,107289,第1組,M231129202045,"PE01:68,PE02:71,PE03:74,PEA01:程式碼豐富,PEA02:,PEC03:流程圖有點不懂,PEM07:,PEIR08:,","PC01:78,PCA01:謝！,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
44,六年九班,107047,4530009,第9組,107015,第6組,M231129202045,"PE01:68,PE02:72,PE03:73,PEA01:太棒了,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
45,六年九班,107047,4530009,第9組,107369,第4組,M231129202045,"PE01:67,PE02:72,PE03:75,PEA01:很棒,PEA02:,PEC03:,PEM07:,PEIR08:組名會不會太長,","PC01:79,PCA01:加油ˊ,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
46,六年九班,107116,4530005,第5組,107006,第3組,M231129202045,"PE01:67,PE02:71,PE03:73,PEA01:很好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:加油,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
47,六年九班,107116,4530005,第5組,107047,第9組,M231129202045,"PE01:67,PE02:70,PE03:74,PEA01:很好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:,PCIR08:可讀性有一點低,",True,True,True,True,True,True,True,True
48,六年九班,107151,4530008,第8組,107007,第2組,M231129202045,"PE01:68,PE02:70,PE03:75,PEA01:真厲害,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:,PCIR08:牙~,",True,True,True,True,True,True,True,True
49,六年九班,107151,4530008,第8組,107116,第5組,M231129202045,"PE01:68,PE02:71,PE03:74,PEA01:有創意,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:很好
,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
50,六年九班,107163,4530007,第7組,107015,第6組,M231129202045,"PE01:68,PE02:70,PE03:75,PEA01:,PEA02:太多重復的東西,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝回饋,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
51,六年九班,107163,4530007,第7組,107151,第8組,M231129202045,"PE01:67,PE02:71,PE03:74,PEA01:有長頸鹿耶:),PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:,PCIR08:好喔,",True,True,True,True,True,True,True,True
52,六年九班,107289,4530001,第1組,107047,第9組,M231129202045,"PE01:67,PE02:71,PE03:74,PEA01:很有創意！
,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:很好,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
53,六年九班,107289,4530001,第1組,107163,第7組,M231129202045,"PE01:68,PE02:70,PE03:74,PEA01:很有創意！
,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:非常好:),PCA02:太好了:),PCC03:非常好:),PCM07:非常好:),PCIR08:非常好:),",True,True,True,True,True,True,True,True
54,六年九班,107369,4530004,第4組,107116,第5組,M231129202045,"PE01:67,PE02:71,PE03:73,PEA01:棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:很好,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
55,六年九班,107369,4530004,第4組,107289,第1組,M231129202045,"PE01:69,PE02:71,PE03:74,PEA01:加油,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:78,PCA01:謝！,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
56,六年二班,107053,3177008,第8組,107069,第3組,M231130104535,"PE01:69,PE02:72,PE03:75,PEA01:好棒喔!,PEA02:好棒喔!,PEC03:好棒喔!,PEM07:好棒喔!,PEIR08:好棒喔!,","PC01:76,PCA01:很好,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
57,六年二班,107053,3177008,第8組,107299,第6組,M231130104535,"PE01:69,PE02:72,PE03:75,PEA01:好棒喔!,PEA02:好棒喔!,PEC03:好棒喔!,PEM07:好棒喔!,PEIR08:好棒喔!,","PC01:76,PCA01:謝謝誇獎,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
58,六年二班,107062,3177005,第5組,107053,第8組,M231130104535,"PE01:68,PE02:71,PE03:73,PEA01:好棒
,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:79,PCA01:好棒喔!,PCA02:好棒喔!,PCC03:好棒喔!,PCM07:細狗:),PCIR08:好棒喔!,",True,True,True,True,True,True,True,True
59,六年二班,107062,3177005,第5組,107141,第2組,M231130104535,"PE01:69,PE02:71,PE03:74,PEA01:很棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
60,六年二班,107069,3177003,第3組,107110,第4組,M231130104535,"PE01:67,PE02:71,PE03:75,PEA01:很好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:那是當然的,PCA02:太誠實,PCC03:正確無誤,PCM07:,PCIR08:你真棒,",True,True,True,True,True,True,True,True
61,六年二班,107069,3177003,第3組,107205,第9組,M231130104535,"PE01:69,PE02:71,PE03:74,PEA01:很好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:78,PCA01:,PCA02:我覺得我們做的很好，應該要給滿分。,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
62,六年二班,107110,3177004,第4組,107062,第5組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:好棒棒,PEA02:,PEC03:,PEM07:沒有改進的空間,PEIR08:,","PC01:77,PCA01:謝謝評價 我們會參考,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
63,六年二班,107110,3177004,第4組,107162,第7組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:指示燈單一,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:嗯,PCA02:看不懂在說甚麼,PCC03:嗯,PCM07:嗯,PCIR08:嗯嗯嗯嗯嗯嗯,",True,True,True,True,True,True,True,True
64,六年二班,107141,3177002,第2組,107069,第3組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:我們想稱讚這組的流程圖或程式碼,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:78,PCA01:,PCA02:不好,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
65,六年二班,107141,3177002,第2組,107234,第1組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:我們想稱讚這組的流程圖或程式碼,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:感謝稱讚,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
66,六年二班,107162,3177007,第7組,107141,第2組,M231130104535,"PE01:67,PE02:70,PE03:73,PEA01:很棒,PEA02:ㄜ
,PEC03:ㄜ,PEM07:不用,PEIR08:沒,","PC01:77,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
67,六年二班,107162,3177007,第7組,107240,第10組,M231130104535,"PE01:67,PE02:70,PE03:73,PEA01:很棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:聰明的人,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
68,六年二班,107205,3177009,第9組,107162,第7組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:愛心很正，不奇怪,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:謝謝,PCC03:無,PCM07:無,PCIR08:呵呵呵呵呵呵呵呵呵呵,",True,True,True,True,True,True,True,True
69,六年二班,107205,3177009,第9組,107299,第6組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:Very good,but I don't know what the first draw is.,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝瞜~~,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
70,六年二班,107234,3177001,第1組,107053,第8組,M231130104535,"PE01:68,PE02:70,PE03:74,PEA01:,PEA02:字有點醜,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:好棒喔!,PCA02:好棒喔!,PCC03:好棒喔!,PCM07:你這也不行啊!,PCIR08:好棒喔!,",True,True,True,True,True,True,True,True
71,六年二班,107234,3177001,第1組,107205,第9組,M231130104535,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:韓文沒用到,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:鍵盤沒韓文要怎麼打韓文,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
72,六年二班,107240,3177010,第10組,107062,第5組,M231130104535,"PE01:68,PE02:70,PE03:74,PEA01:厲害,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
73,六年二班,107240,3177010,第10組,107234,第1組,M231130104535,"PE01:67,PE02:70,PE03:73,PEA01:很完美,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:感謝稱讚,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
74,六年二班,107299,3177006,第6組,107110,第4組,M231130104535,"PE01:69,PE02:72,PE03:75,PEA01:,PEA02:字很醜，圖片沒有做任何東西，不完整，看不懂(哀傷)
,PEC03:,PEM07:,PEIR08:,","PC01:79,PCA01:無,PCA02:太兇了,PCC03:亂講話,PCM07:溫柔億點,PCIR08:,",True,True,True,True,True,True,True,True
75,六年二班,107299,3177006,第6組,107240,第10組,M231130104535,"PE01:67,PE02:70,PE03:73,PEA01:字很美，很整齊(good),PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:厲害,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
76,六年八班,107071,6699007,第7組,107275,第10組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:想,PEA02:不想,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
77,六年八班,107071,6699007,第7組,107283,第1組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:想,PEA02:不想,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
78,六年八班,107264-a2,6699002,第2組,107381,第8組,M231128000212,"PE01:68,PE02:70,PE03:73,PEA01:做的不錯,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
79,六年八班,107264-a2,6699002,第2組,107462,第5組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:,PEA02:good,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
80,六年八班,107275,6699010,第10組,107287,第3組,M231128000212,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:有點難看懂,PEC03:,PEM07:不要太雜亂,PEIR08:,",,True,True,True,True,True,True,True,True
81,六年八班,107275,6699010,第10組,107297,第9組,M231128000212,"PE01:68,PE02:70,PE03:74,PEA01:很有趣，很不錯
,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
82,六年八班,107283,6699001,第1組,107264-a2,第2組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:看不太懂,PEA02:不想,PEC03:不想,PEM07:想,PEIR08:不想,",,True,True,True,True,True,True,True,True
83,六年八班,107283,6699001,第1組,107297,第9組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:想,PEA02:不想,PEC03:不想,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
84,六年八班,107287,6699003,第3組,107264-a2,第2組,M231128000212,"PE01:69,PE02:71,PE03:75,PEA01:流程圖做得不錯,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
85,六年八班,107287,6699003,第3組,107390,第6組,M231128000212,"PE01:69,PE02:72,PE03:75,PEA01:程式做得不錯
,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
86,六年八班,107297,6699009,第9組,107390,第6組,M231128000212,"PE01:68,PE02:71,PE03:73,PEA01:好棒！,PEA02:,PEC03:,PEM07:,PEIR08:你好嗎？,",,True,True,True,True,True,True,True,True
87,六年八班,107297,6699009,第9組,107462,第5組,M231128000212,"PE01:67,PE02:71,PE03:73,PEA01:好厲害,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
88,六年八班,107321,6699004,第4組,107283,第1組,M231128000212,"PE01:67,PE02:71,PE03:73,PEA01:對自己喜歡的東西有興趣，很好
,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
89,六年八班,107321,6699004,第4組,107287,第3組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:有創意，很好,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
90,六年八班,107381,6699008,第8組,107275,第10組,M231128000212,"PE01:68,PE02:70,PE03:74,PEA01:字很美
做得很好
不錯,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
91,六年八班,107381,6699008,第8組,107321,第4組,M231128000212,"PE01:68,PE02:70,PE03:74,PEA01:有錢的味道
哈哈哈,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
92,六年八班,107390,6699006,第6組,107071,第7組,M231128000212,"PE01:69,PE02:71,PE03:75,PEA01:,PEA02:,PEC03:,PEM07:有點太簡單,PEIR08:,",,True,True,True,True,True,True,True,True
93,六年八班,107390,6699006,第6組,107381,第8組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:還蠻好的,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
94,六年八班,107462,6699005,第5組,107071,第7組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:
可以再拍比較好一點,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
95,六年八班,107462,6699005,第5組,107321,第4組,M231128000212,"PE01:67,PE02:70,PE03:73,PEA01:很棒
,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
96,六年五班,107067,7645002,第2組,107127,第8組,M231127235925,"PE01:67,PE02:71,PE03:73,PEA01:,PEA02:,PEC03:沒有清除,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝提醒,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
97,六年五班,107067,7645002,第2組,107176,第4組,M231127235925,"PE01:67,PE02:70,PE03:73,PEA01:寫得好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
98,六年五班,107127,7645008,第8組,107164,第5組,M231127235925,"PE01:67,PE02:71,PE03:75,PEA01:很清楚明瞭,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
99,六年五班,107127,7645008,第8組,107190,第9組,M231127235925,"PE01:69,PE02:72,PE03:75,PEA01:很棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:好棒棒,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
100,六年五班,107137,7645001,第1組,107067,第2組,M231127235925,"PE01:67,PE02:70,PE03:73,PEA01:讚,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01: 讚,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
101,六年五班,107137,7645001,第1組,107164,第5組,M231127235925,"PE01:67,PE02:70,PE03:73,PEA01:棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
